iter	Logloss
0	0.6362206978
1	0.5794075938
2	0.5557127034
3	0.5361178322
4	0.513608395
5	0.5064899323
6	0.492110342
7	0.4881081007
8	0.4794233327
9	0.4730083377
10	0.4686972061
11	0.4640400046
12	0.4609137698
13	0.4498483181
14	0.4478865094
15	0.4456647155
16	0.4439099355
17	0.4424758507
18	0.4409524102
19	0.4382010602
20	0.4364793846
21	0.4361081593
22	0.4344690739
23	0.4337806849
24	0.432747847
25	0.4323914077
26	0.4308545105
27	0.4306124363
28	0.4293247866
29	0.429001535
30	0.4282701653
31	0.4278376946
32	0.4272009139
33	0.4268524068
34	0.4255804469
35	0.4253123692
36	0.4250903986
37	0.4247896383
38	0.4245300151
39	0.4241270179
40	0.4240858101
41	0.4239742596
42	0.4237348867
43	0.4236523187
44	0.4233702423
45	0.4231131982
46	0.4228375036
47	0.4227496165
48	0.4225930193
49	0.4223678645
50	0.4219210547
51	0.4218976573
52	0.4213242974
53	0.421146561
54	0.4210842313
55	0.4206045381
56	0.4202151475
57	0.4199916181
58	0.4196442565
59	0.4196419778
60	0.4194358781
61	0.4184486017
62	0.4172353863
63	0.4171569682
64	0.4168878807
65	0.416737389
66	0.4165746516
67	0.4163672768
68	0.4160291092
69	0.4159556999
70	0.4158425972
71	0.4158001997
72	0.4156698567
73	0.4155275194
74	0.4145442874
75	0.4144818828
76	0.4144771005
77	0.4144358921
78	0.4143246948
79	0.4142169395
80	0.4141338215
81	0.4137825574
82	0.4137423695
83	0.4136734113
84	0.4135595112
85	0.41348352
86	0.4134132984
87	0.4131970901
88	0.4130893401
89	0.412950426
90	0.4128781074
91	0.4121215403
92	0.4120293935
93	0.4118594279
94	0.4118364998
95	0.4117196489
96	0.4115278056
97	0.4114702464
98	0.4114271056
99	0.4108644992
100	0.4108175251
101	0.4107922858
102	0.4107439766
103	0.4106768696
104	0.4104540762
105	0.4102820956
106	0.4102052102
107	0.4101669118
108	0.4100120322
109	0.4099905707
110	0.4099362621
111	0.4098660093
112	0.4097683396
113	0.4097576149
114	0.4096959067
115	0.4096451887
116	0.409622711
117	0.4093878142
118	0.4093023864
119	0.4091899823
120	0.4091673027
121	0.4091276795
122	0.4090725903
123	0.4089822907
124	0.4089447439
125	0.4087582803
126	0.4087021368
127	0.408413225
128	0.4082986954
129	0.4082875031
130	0.408159163
131	0.4080281129
132	0.4079828756
133	0.4079146536
134	0.4078021953
135	0.4077501769
136	0.4076622681
137	0.4076619577
138	0.407558174
139	0.4074005111
140	0.4073010374
141	0.4072700397
142	0.4072447824
143	0.4072359265
144	0.4071950361
145	0.4071550698
146	0.4071107485
147	0.4070676834
148	0.4070563919
149	0.4069357611
150	0.4068674665
151	0.4068364706
152	0.4065503487
153	0.4064857948
154	0.406467664
155	0.4063969435
156	0.4063843363
157	0.4063795166
158	0.4063712613
159	0.4063327285
160	0.4062654138
161	0.4062540613
162	0.406191942
163	0.4061643071
164	0.4060861007
165	0.4060128415
166	0.4059977422
167	0.4059097936
168	0.4059078281
169	0.4058915652
170	0.4058899269
171	0.405820433
172	0.4057983476
173	0.4057396416
174	0.405668637
175	0.4056551237
176	0.4056033231
177	0.4055474577
178	0.4054998939
179	0.4053816386
180	0.4053506913
181	0.4053364568
182	0.4053034063
183	0.4052385305
184	0.405237359
185	0.4052133063
186	0.4051627781
187	0.4051309216
188	0.4051270246
189	0.4050856167
190	0.404928384
191	0.4048337143
192	0.4048275944
193	0.4047917977
194	0.4047039907
195	0.4046695292
196	0.4045657786
197	0.4042856968
198	0.4042824651
199	0.4042712379
200	0.4042586703
201	0.4042311049
202	0.4041330565
203	0.4039595081
204	0.4039109087
205	0.4038414659
206	0.403823726
207	0.4037506445
208	0.4037120924
209	0.4036668422
210	0.4036191483
211	0.4035687593
212	0.4035681384
213	0.4035415596
214	0.4034201456
215	0.4033524191
216	0.4033110568
217	0.4031866567
218	0.4031069956
219	0.40310307
220	0.4030488554
221	0.4030053054
222	0.4029198781
223	0.4029110655
224	0.4028889456
225	0.4028342295
226	0.402827257
227	0.4027982646
228	0.4027574911
229	0.4026968687
230	0.4026626599
231	0.4025904253
232	0.4025376906
233	0.4025173262
234	0.4024289017
235	0.402393508
236	0.4023229324
237	0.4022358462
238	0.4021954193
239	0.4021811424
240	0.4021205099
241	0.4020775624
242	0.4019030391
243	0.4017764064
244	0.4017545436
245	0.401705485
246	0.4016864678
247	0.4016800746
248	0.4016693899
249	0.4016430637
250	0.4016408725
251	0.4015136546
252	0.4014549323
253	0.4014532234
254	0.4014350389
255	0.4013174533
256	0.4013048866
257	0.4012440928
258	0.4011565617
259	0.4011410221
260	0.4011247862
261	0.4010904183
262	0.401066144
263	0.401062981
264	0.4010308548
265	0.4010259054
266	0.4009949155
267	0.400978425
268	0.4009643768
269	0.400937493
270	0.4009111745
271	0.4008686197
272	0.4008479867
273	0.4008406138
274	0.4008354014
275	0.4007432397
276	0.4007202342
277	0.4007179275
278	0.4006011764
279	0.4005613412
280	0.4005190366
281	0.4004731715
282	0.4004537789
283	0.4004290356
