iter	Passed	Remaining
0	24	24760
1	52	26023
2	78	26234
3	105	26375
4	128	25531
5	150	24972
6	175	24909
7	200	24895
8	229	25288
9	257	25465
10	283	25486
11	309	25447
12	336	25516
13	364	25695
14	388	25536
15	415	25563
16	438	25362
17	464	25344
18	490	25347
19	517	25361
20	542	25272
21	565	25152
22	587	24943
23	609	24775
24	632	24665
25	656	24601
26	682	24583
27	708	24608
28	730	24466
29	755	24413
30	776	24267
31	797	24129
32	818	23971
33	840	23866
34	859	23705
35	881	23603
36	904	23546
37	930	23544
38	951	23442
39	977	23466
40	982	22987
41	1010	23049
42	1034	23027
43	1058	22998
44	1084	23006
45	1105	22917
46	1127	22854
47	1147	22766
48	1169	22688
49	1193	22674
50	1217	22650
51	1246	22719
52	1272	22728
53	1295	22690
54	1316	22627
55	1339	22584
56	1360	22510
57	1382	22455
58	1405	22412
59	1428	22381
60	1449	22316
61	1470	22253
62	1494	22222
63	1516	22175
64	1537	22121
65	1559	22068
66	1581	22020
67	1607	22028
68	1629	21987
69	1652	21957
70	1675	21924
71	1696	21870
72	1717	21805
73	1739	21763
74	1764	21756
75	1787	21737
76	1811	21709
77	1832	21666
78	1855	21636
79	1878	21597
80	1900	21567
81	1922	21525
82	1945	21496
83	1967	21456
84	1989	21420
85	2011	21381
86	2034	21349
87	2056	21317
88	2080	21296
89	2100	21241
90	2123	21207
91	2146	21183
92	2170	21169
93	2192	21131
94	2216	21117
95	2241	21107
96	2265	21093
97	2286	21041
98	2306	20990
99	2329	20963
100	2349	20909
101	2369	20857
102	2390	20815
103	2410	20767
104	2432	20733
105	2453	20689
106	2473	20646
107	2496	20616
108	2522	20619
109	2546	20604
110	2571	20597
111	2599	20611
112	2629	20636
113	2657	20654
114	2686	20674
115	2721	20739
116	2746	20726
117	2766	20676
118	2791	20663
119	2811	20617
120	2830	20565
121	2855	20550
122	2880	20539
123	2906	20531
124	2930	20511
125	2956	20509
126	2982	20499
127	3003	20459
128	3028	20448
129	3052	20426
130	3075	20402
131	3102	20400
132	3126	20379
133	3148	20348
134	3174	20338
135	3199	20324
136	3223	20305
137	3245	20275
138	3268	20245
139	3291	20216
140	3313	20184
141	3340	20186
142	3366	20176
143	3389	20150
144	3412	20124
145	3439	20115
146	3462	20093
147	3490	20094
148	3511	20055
149	3533	20022
150	3554	19983
151	3575	19946
152	3598	19918
153	3621	19895
154	3643	19864
155	3666	19838
156	3689	19811
157	3718	19818
158	3745	19809
159	3774	19818
160	3805	19829
161	3834	19835
162	3864	19841
163	3889	19828
164	3914	19807
165	3936	19778
166	3958	19743
167	3982	19722
168	4004	19691
169	4027	19664
170	4055	19659
171	4087	19676
172	4125	19719
173	4151	19709
174	4186	19735
175	4212	19720
176	4234	19688
177	4257	19659
178	4280	19631
179	4301	19597
180	4325	19574
181	4348	19542
182	4370	19513
183	4396	19498
184	4420	19474
185	4443	19444
186	4466	19419
187	4491	19398
188	4516	19379
189	4543	19370
190	4575	19378
191	4615	19422
192	4641	19409
193	4669	19398
194	4702	19413
195	4731	19409
196	4767	19431
197	4797	19430
198	4802	19330
199	4827	19308
200	4857	19309
201	4890	19319
202	4918	19311
203	4943	19290
204	4973	19289
205	5013	19322
206	5044	19323
207	5076	19329
208	5107	19329
209	5135	19318
210	5168	19328
211	5202	19337
212	5230	19326
213	5257	19311
214	5284	19294
215	5311	19278
216	5334	19249
217	5362	19237
218	5388	19217
219	5414	19197
220	5438	19170
221	5464	19151
222	5488	19122
223	5511	19092
224	5533	19061
225	5554	19023
226	5574	18981
227	5594	18941
228	5615	18907
229	5639	18879
230	5659	18840
231	5679	18801
232	5702	18771
233	5724	18739
234	5751	18722
235	5776	18701
236	5801	18677
237	5830	18667
238	5857	18650
239	5880	18621
240	5902	18588
241	5925	18560
242	5947	18529
243	5972	18506
244	5995	18474
245	6019	18451
246	6043	18422
247	6064	18388
248	6088	18363
249	6112	18336
250	6137	18314
251	6162	18291
252	6186	18265
253	6212	18246
254	6232	18209
255	6254	18178
256	6276	18144
257	6296	18109
258	6316	18071
259	6336	18034
260	6341	17956
261	6362	17920
262	6385	17895
263	6422	17904
264	6450	17892
265	6475	17867
266	6499	17843
267	6519	17807
268	6540	17773
269	6562	17742
270	6580	17702
271	6603	17674
272	6622	17636
273	6644	17606
274	6666	17575
275	6692	17556
276	6711	17518
277	6737	17497
278	6760	17470
279	6783	17442
280	6806	17415
281	6831	17392
282	6852	17361
283	6875	17333
284	6895	17299
285	6915	17264
286	6919	17189
287	6940	17158
288	6961	17126
289	6982	17094
290	7002	17061
291	7025	17034
292	7048	17007
293	7071	16980
294	7093	16952
295	7115	16923
296	7140	16901
297	7165	16879
298	7195	16869
299	7232	16875
300	7265	16871
301	7296	16865
302	7326	16852
303	7358	16846
304	7395	16850
305	7430	16852
306	7456	16832
307	7478	16803
308	7500	16773
309	7525	16749
310	7547	16720
311	7568	16690
312	7590	16660
313	7611	16628
314	7632	16596
315	7653	16566
316	7678	16543
317	7705	16526
318	7727	16497
319	7752	16473
320	7774	16445
321	7796	16415
322	7819	16389
323	7841	16359
324	7867	16339
325	7891	16315
326	7913	16286
327	7938	16264
328	7959	16233
329	7981	16205
330	8003	16175
331	8027	16151
332	8054	16134
333	8082	16117
334	8106	16092
335	8129	16065
336	8153	16041
337	8179	16019
338	8203	15996
339	8231	15978
340	8264	15971
341	8292	15953
342	8317	15932
343	8342	15909
344	8373	15897
345	8404	15886
346	8441	15886
347	8470	15870
348	8497	15849
349	8520	15823
350	8543	15796
351	8563	15765
352	8584	15733
353	8603	15700
354	8622	15666
355	8645	15639
356	8666	15609
357	8692	15587
358	8718	15566
359	8742	15542
360	8766	15517
361	8796	15503
362	8818	15475
363	8840	15446
364	8867	15426
365	8897	15411
366	8920	15386
367	8946	15363
368	8970	15339
369	8992	15311
370	9020	15293
371	9048	15275
372	9073	15253
373	9103	15237
374	9131	15219
375	9160	15201
376	9182	15174
377	9210	15155
378	9237	15136
379	9263	15114
380	9291	15095
381	9321	15079
382	9349	15061
383	9377	15042
384	9407	15026
385	9429	15000
386	9450	14969
387	9471	14940
388	9493	14911
389	9517	14886
390	9539	14858
391	9562	14830
392	9586	14807
393	9609	14780
394	9633	14755
395	9658	14731
396	9681	14705
397	9705	14680
398	9730	14656
399	9752	14629
400	9772	14598
401	9793	14569
402	9815	14541
403	9836	14510
404	9860	14486
405	9883	14460
406	9905	14432
