iter	Passed	Remaining
0	43	43185
1	77	38687
2	106	35523
3	135	33718
4	165	32855
5	194	32263
6	226	32113
7	257	31958
8	280	30884
9	300	29759
10	331	29777
11	359	29627
12	392	29823
13	418	29506
14	448	29478
15	481	29602
16	509	29437
17	531	28995
18	555	28706
19	577	28299
20	598	27914
21	620	27579
22	646	27446
23	671	27315
24	699	27297
25	729	27337
26	756	27261
27	783	27187
28	812	27191
29	839	27156
30	867	27124
31	893	27041
32	920	26985
33	948	26955
34	976	26921
35	1005	26920
36	1031	26842
37	1061	26863
38	1091	26889
39	1123	26969
40	1155	27021
41	1189	27133
42	1216	27082
43	1246	27077
44	1272	27007
45	1298	26937
46	1326	26899
47	1359	26962
48	1391	27014
49	1423	27052
50	1449	26970
51	1477	26929
52	1507	26943
53	1539	26966
54	1568	26953
55	1595	26889
56	1622	26839
57	1648	26774
58	1676	26736
59	1704	26697
60	1729	26624
61	1755	26551
62	1781	26495
63	1810	26483
64	1835	26399
65	1861	26346
66	1890	26322
67	1913	26225
68	1940	26181
69	1965	26109
70	1987	26005
71	2011	25921
72	2035	25841
73	2061	25800
74	2087	25751
75	2116	25732
76	2148	25750
77	2176	25722
78	2206	25721
79	2238	25744
80	2270	25760
81	2301	25760
82	2330	25751
83	2359	25733
84	2388	25707
85	2420	25723
86	2442	25627
87	2463	25535
88	2497	25562
89	2528	25563
90	2554	25513
91	2579	25463
92	2605	25408
93	2630	25351
94	2653	25277
95	2677	25212
96	2705	25188
97	2732	25148
98	2760	25119
99	2790	25114
100	2820	25108
101	2849	25083
102	2875	25045
103	2905	25034
104	2934	25011
105	2965	25008
106	2993	24980
107	3023	24969
108	3053	24959
109	3078	24910
110	3104	24864
111	3134	24849
112	3168	24874
113	3203	24900
114	3233	24881
115	3258	24833
116	3291	24837
117	3325	24858
118	3355	24843
119	3386	24832
120	3417	24829
121	3450	24831
122	3484	24841
123	3514	24830
124	3548	24838
125	3576	24805
126	3605	24786
127	3633	24751
128	3648	24632
129	3669	24559
130	3693	24504
131	3717	24442
132	3740	24382
133	3765	24338
134	3796	24326
135	3826	24308
136	3837	24174
137	3866	24149
138	3894	24121
139	3923	24101
140	3952	24078
141	3982	24062
142	4012	24047
143	4038	24008
144	4066	23976
145	4099	23978
146	4130	23966
147	4157	23931
148	4181	23879
149	4207	23843
150	4237	23823
151	4259	23763
152	4284	23716
153	4310	23678
154	4335	23634
155	4363	23606
156	4388	23562
157	4412	23514
158	4442	23497
159	4467	23456
160	4492	23409
161	4514	23353
162	4540	23314
163	4565	23271
164	4589	23227
165	4617	23197
166	4646	23179
167	4674	23148
168	4702	23122
169	4727	23083
170	4756	23058
