iter	Logloss
0	0.6926153763
1	0.6920479197
2	0.6914892643
3	0.6909457986
4	0.6903638024
5	0.689750478
6	0.6891559222
7	0.688585607
8	0.6880444322
9	0.6875141003
10	0.6869732059
11	0.6864165471
12	0.685809313
13	0.6852372595
14	0.6846385733
15	0.684062942
16	0.6835150334
17	0.6830070705
18	0.6824997264
19	0.6819605304
20	0.6814020421
21	0.6809190429
22	0.6803426745
23	0.6797899766
24	0.6792301201
25	0.6786567415
26	0.6781149735
27	0.6775384266
28	0.6769700687
29	0.6764210244
30	0.6758311241
31	0.675373083
32	0.6748347586
33	0.6742784617
34	0.6737759
35	0.6732565374
36	0.6727637966
37	0.6722579482
38	0.6717791266
39	0.6712994667
40	0.6707375347
41	0.6701575831
42	0.6696222882
43	0.6690849172
44	0.66854309
45	0.6680693996
46	0.6675948906
47	0.667063901
48	0.6666096244
49	0.6660737042
50	0.6655881581
51	0.6650125621
52	0.6645434838
53	0.6640581877
54	0.6635967392
55	0.6631166727
56	0.662592301
57	0.6620803039
58	0.6616213312
59	0.6610949474
60	0.6605836915
61	0.6600426546
62	0.659551544
63	0.6590121233
64	0.6584401757
65	0.6578816133
66	0.6573474377
67	0.6568481588
68	0.6563424361
69	0.6558516255
70	0.6553330676
71	0.6548562009
72	0.6543864539
73	0.6538853354
74	0.6534546482
75	0.6529253867
76	0.6524556949
77	0.6519019003
78	0.6514011017
79	0.6508601772
80	0.6504185438
81	0.6498989773
82	0.6494356998
83	0.6490091922
84	0.6484883869
85	0.6480168198
86	0.6475241568
87	0.6470572284
88	0.6466168343
89	0.6461902027
90	0.64568736
91	0.6451684938
92	0.6446869938
93	0.6442433199
94	0.6438187301
95	0.6433332839
96	0.6429008954
97	0.6424407569
98	0.6419708973
99	0.641544426
100	0.6410812026
101	0.6405729913
102	0.6401782569
103	0.6396698277
104	0.6392270687
105	0.6387134658
106	0.6382637028
107	0.6378266885
108	0.6373780198
109	0.6368789416
110	0.6363822556
111	0.6359705224
112	0.6355098444
113	0.6351079523
114	0.6346126147
115	0.6341630235
116	0.6337583326
117	0.6332797952
118	0.6328226009
119	0.6324019822
120	0.6319916412
121	0.6315859095
122	0.6311182494
123	0.6306616867
124	0.6301721322
125	0.629700822
126	0.6292420151
127	0.6288047363
128	0.6284009868
129	0.6279428896
130	0.6274700025
131	0.6270164981
132	0.6265647547
133	0.6261164025
134	0.6256907593
135	0.6253026527
136	0.6249258989
137	0.6245384249
138	0.6240859564
139	0.6236338919
140	0.6231681245
141	0.6227116536
142	0.6222914643
143	0.6218600601
144	0.6214379155
145	0.6209997434
146	0.6206294969
147	0.6202533718
148	0.6198293484
149	0.6194333522
150	0.6190231827
151	0.6186675237
152	0.6182153651
153	0.6178003423
154	0.6173714767
155	0.6169673831
156	0.6165498338
157	0.6161157318
158	0.6157206816
159	0.6152895232
160	0.6148497647
161	0.6144459549
162	0.6140437929
163	0.6136180822
164	0.6131841179
165	0.6127522973
166	0.6123735656
167	0.6119635562
168	0.611536202
169	0.6110615517
170	0.6106723027
171	0.6102353174
172	0.6099265205
173	0.6094950001
174	0.609075915
175	0.608712475
176	0.6083112306
177	0.6078696378
178	0.6074878235
179	0.6070738095
180	0.6067132578
181	0.6062748687
182	0.6059407164
183	0.6054984323
184	0.6050528028
185	0.6046286574
186	0.6042127263
187	0.6038196349
188	0.6035157035
189	0.6031168636
190	0.6027616734
191	0.6023198849
192	0.6019441995
193	0.6015665689
194	0.6011593953
195	0.6007462594
196	0.600355826
197	0.5999802243
198	0.5996104486
199	0.5992386604
200	0.5988671094
201	0.5984725552
202	0.5980924544
203	0.5977333924
204	0.5973358542
205	0.5968836036
206	0.5964593146
207	0.5960448266
208	0.595685475
209	0.5952850579
210	0.5949212291
211	0.5945030088
212	0.5941087459
213	0.5937257904
214	0.5933407528
215	0.5930134836
216	0.5926523078
217	0.5923285684
218	0.5919765588
219	0.5916478733
220	0.5912816621
221	0.5908861609
222	0.5905132882
223	0.5901539752
224	0.5897822116
225	0.5894210847
226	0.5890687067
227	0.5886679616
228	0.5882760342
229	0.5878763764
230	0.5875379513
231	0.587217039
232	0.5868656273
233	0.5865238517
234	0.5861574904
235	0.5857947482
236	0.5853910415
237	0.5850384956
238	0.5846854282
239	0.5843524845
240	0.5839963778
241	0.5836375971
242	0.5832793532
243	0.5829665852
244	0.5826390692
245	0.5823457712
246	0.5820175521
247	0.5816733379
248	0.5812918841
249	0.5809273539
250	0.580636842
251	0.5802982296
252	0.5799818059
253	0.5796277931
254	0.5792640929
255	0.5789297995
256	0.5785853596
257	0.578239542
258	0.5778841141
259	0.5775561173
260	0.5771913899
261	0.5768479721
262	0.5764982824
263	0.5761638326
264	0.5758090549
265	0.5755029371
266	0.5751542187
267	0.574828663
268	0.5744727038
269	0.5741167895
270	0.5737625742
271	0.5734348036
272	0.5731161924
273	0.5727560515
274	0.5724125195
275	0.5721113947
276	0.5717435042
277	0.5714044084
278	0.5710498559
279	0.5706451427
280	0.570332575
281	0.5699731381
282	0.5696232749
283	0.5692962043
284	0.568947389
285	0.5685861808
286	0.5682209773
287	0.567868169
288	0.5675330761
289	0.567205909
290	0.5668730532
291	0.5665316597
292	0.5662611432
293	0.5659566927
294	0.5656555037
295	0.5653443975
296	0.565029093
297	0.5646810959
298	0.5643757649
299	0.5640756556
300	0.563770218
301	0.5634687397
302	0.5631748371
303	0.5628528037
304	0.5625342115
305	0.5622429849
306	0.561913025
307	0.5616030532
308	0.5612903815
309	0.5609883631
310	0.560706193
311	0.5604172279
312	0.5600937289
313	0.5598369442
314	0.5595730125
315	0.5592681587
316	0.5589716815
317	0.5586297395
318	0.5583191266
319	0.5580615536
320	0.5577555929
321	0.5574423287
322	0.557189179
323	0.5568883438
324	0.5565645138
325	0.5562586463
326	0.5559021295
327	0.555600332
328	0.5552793317
329	0.5549757757
330	0.5546764111
331	0.5543703202
332	0.5541028868
333	0.5538270579
334	0.5535275921
335	0.5532652325
336	0.5530349987
337	0.5527470153
338	0.5524327136
339	0.5521380648
340	0.5518355259
341	0.5515476485
342	0.5512682958
343	0.5509347663
344	0.550632667
345	0.5503336341
346	0.5500356951
347	0.5497866852
348	0.5494787054
349	0.549167463
350	0.5489083944
351	0.5486322129
352	0.5483262111
353	0.5480344495
354	0.5477410038
355	0.5474519626
356	0.5471509625
357	0.546863153
358	0.5465654451
359	0.5462639464
360	0.5459449049
361	0.5456814487
362	0.5453869247
363	0.5451262052
364	0.5448713589
365	0.5445978753
366	0.5443560152
367	0.544082108
368	0.5437828879
369	0.5434884285
370	0.5432622418
371	0.5429679108
372	0.5426855094
373	0.5424352729
374	0.5422343372
375	0.5419732296
376	0.5416883257
377	0.5414289978
378	0.5411790452
379	0.5409044563
380	0.5406221527
381	0.5403616043
382	0.5400966129
383	0.5397947359
384	0.5395082169
385	0.5392576471
386	0.5389839211
387	0.5386836885
388	0.5384678949
389	0.5382270683
390	0.538126108
391	0.5378450113
392	0.5375365927
393	0.5372879487
394	0.5370512591
395	0.5368108681
396	0.5365410413
397	0.5363039377
398	0.5360116422
399	0.5357707416
400	0.5355076048
401	0.5352618458
402	0.5349629143
403	0.5346609867
404	0.5343826966
405	0.5340776561
406	0.5338333476
407	0.5335893763
408	0.5333211034
409	0.5330514405
410	0.5327825802
411	0.5325447232
412	0.5322841043
413	0.5320597901
414	0.5317900358
415	0.5315042734
416	0.5312405774
417	0.5309547719
418	0.530698211
419	0.5304262424
420	0.53017495
421	0.5299374695
422	0.529658719
423	0.529455924
424	0.5292228491
425	0.5289943556
426	0.5287526421
427	0.5284819853
428	0.528211401
429	0.5279425496
430	0.5276619434
431	0.5274333329
432	0.527182991
433	0.5269274458
434	0.5266746664
435	0.5264287693
436	0.5262009483
437	0.5259731699
438	0.5257402868
439	0.5255382495
440	0.5253235827
441	0.5250580778
442	0.5247913417
443	0.524547144
444	0.524258383
445	0.5240166646
446	0.5237606488
447	0.5235178174
448	0.5232958325
449	0.5230327413
450	0.5227707743
451	0.5225072394
452	0.5222739177
453	0.522028188
454	0.521808997
455	0.5215913359
456	0.5213829695
457	0.521157046
458	0.5209241927
459	0.5207067905
460	0.5204533265
461	0.5202307765
462	0.5199975756
463	0.5197918001
464	0.5195422062
465	0.5193200794
466	0.5190935149
467	0.5188438418
468	0.5186134815
469	0.5183640576
470	0.5181400373
471	0.5179262048
472	0.5176928649
473	0.5174469013
474	0.5172053649
475	0.5169659758
476	0.5167512645
477	0.5165091254
478	0.5162852585
479	0.5160814878
480	0.5158348721
481	0.5155841266
482	0.5153682013
483	0.515128619
484	0.5149122526
485	0.5146680641
486	0.5144213432
487	0.5142151566
488	0.5139856632
489	0.5137411695
490	0.513507336
491	0.5132963757
492	0.51305077
493	0.5128240105
494	0.512561418
495	0.512361487
496	0.5121345717
497	0.5119180527
498	0.5117368971
499	0.5115190321
500	0.5112754882
501	0.5110375138
502	0.510817128
503	0.510640237
504	0.5104501026
505	0.5102284923
506	0.510014936
507	0.5098090394
508	0.5095781799
509	0.5093515436
510	0.5091330683
511	0.5089204114
512	0.5086886956
513	0.5084310143
514	0.5082409822
515	0.5080399129
516	0.507857362
517	0.5076406942
518	0.5074259965
519	0.5072117839
520	0.5069979269
521	0.5068301002
522	0.5066337208
523	0.5064178907
524	0.5062409697
525	0.5060332513
526	0.5057947042
527	0.5055861511
528	0.5053484014
529	0.5051638137
530	0.5049186629
531	0.5046889066
532	0.5044647921
533	0.5042582171
534	0.5040611828
535	0.5038430598
536	0.5036343005
537	0.5033922318
538	0.5032126462
539	0.5030019982
540	0.5028324525
541	0.5026318658
542	0.5024076353
543	0.5022156694
544	0.502006841
545	0.5018346093
546	0.5016087541
547	0.501397291
548	0.5011707665
549	0.5009681265
550	0.5007392088
551	0.5005464263
552	0.5003569091
553	0.5001427518
554	0.4999394275
555	0.4997263536
556	0.4995106314
557	0.4993142033
558	0.4991320733
559	0.4988877993
560	0.498692499
561	0.4985267455
562	0.4983104327
563	0.4980907237
564	0.4978612396
565	0.4976324644
566	0.4974267742
567	0.4972049699
568	0.4969850051
569	0.4967942291
570	0.4965858517
571	0.4963916476
572	0.4961896919
573	0.4959933322
574	0.4958279801
575	0.4957077693
576	0.4955417429
577	0.4953322438
578	0.495157008
579	0.4949591968
580	0.4947299105
581	0.4945411004
582	0.494347705
583	0.4941762993
584	0.4940115709
585	0.4938329727
586	0.493660584
587	0.4934778864
588	0.4932995419
589	0.4931217897
590	0.4929243754
591	0.4927211368
592	0.4925065464
593	0.492344766
594	0.492179154
595	0.4919820628
596	0.4917465198
597	0.4915530279
598	0.4914095318
599	0.4912147293
600	0.4910426826
601	0.4908269699
602	0.4905959127
603	0.4903901862
604	0.4902344817
605	0.4900379558
606	0.4898335989
607	0.489610725
608	0.4894277567
609	0.4892173785
610	0.4890353369
611	0.4888350481
612	0.488662159
613	0.4885127128
614	0.4883103463
615	0.4881158829
616	0.4879396405
617	0.4877369627
618	0.487561818
619	0.4874049023
620	0.4872601185
621	0.4870707475
622	0.4869058702
623	0.4867758798
624	0.4866033441
625	0.4863967719
626	0.4861848542
