iter	Logloss
0	0.6925332847
1	0.6919528947
2	0.6914381358
3	0.6908455964
4	0.6902080966
5	0.689648794
6	0.6891014365
7	0.6885397664
8	0.6879862976
9	0.6873535752
10	0.6868030578
11	0.6862193498
12	0.6856016252
13	0.6850657781
14	0.6845119571
15	0.6839615154
16	0.6833808839
17	0.6828262382
18	0.6822336746
19	0.6816107486
20	0.6810103152
21	0.6805891186
22	0.6799753976
23	0.6794105324
24	0.6788737073
25	0.6783285307
26	0.6777783234
27	0.6772228879
28	0.6766513753
29	0.6760716647
30	0.6755171206
31	0.675000279
32	0.6744164783
33	0.6737777253
34	0.6732597607
35	0.6727590133
36	0.6721780105
37	0.6716841279
38	0.6711444004
39	0.6705971311
40	0.670037474
41	0.669539047
42	0.6689616813
43	0.66841604
44	0.667821938
45	0.6673256949
46	0.666748845
47	0.6661827688
48	0.665599442
49	0.6650252913
50	0.6645581104
51	0.6640305673
52	0.6634974326
53	0.6630459066
54	0.662546396
55	0.6620130222
56	0.6614548068
57	0.6609189043
58	0.660442087
59	0.6599929847
60	0.6594816369
61	0.6589579335
62	0.6583869501
63	0.6577995047
64	0.6572857092
65	0.6567718037
66	0.6562694817
67	0.6557343148
68	0.6551930263
69	0.654705454
70	0.6541596457
71	0.6536385204
72	0.6531113484
73	0.6526055994
74	0.6521122405
75	0.6515878255
76	0.6511155851
77	0.65059278
78	0.6500759721
79	0.6496516277
80	0.6491337939
81	0.6486375495
82	0.6481670204
83	0.6476454212
84	0.6471950613
85	0.6467367001
86	0.6462842722
87	0.6457523152
88	0.6452337991
89	0.6447722374
90	0.6442500161
91	0.643739988
92	0.6432575094
93	0.6428056255
94	0.6423473244
95	0.6418970033
96	0.6414316546
97	0.6409680189
98	0.6405032794
99	0.6400108518
100	0.6395540721
101	0.6390907189
102	0.6385838188
103	0.6381400799
104	0.6376472932
105	0.6371881312
106	0.6366474072
107	0.6362112435
108	0.6357718466
109	0.635276443
110	0.6348371065
111	0.6343542767
112	0.6338594716
113	0.633352547
114	0.6328823937
115	0.6324320466
116	0.632018132
117	0.6315761395
118	0.6310351039
119	0.6305482092
120	0.6300252776
121	0.6295827667
122	0.6290953579
123	0.6286010117
124	0.6281646025
125	0.6277177147
126	0.6273254352
127	0.627040722
128	0.6265172323
129	0.6260141558
130	0.6256067707
131	0.6251475442
132	0.6246403829
133	0.6241945781
134	0.6237383056
135	0.6232357919
136	0.6228134615
137	0.622370882
138	0.6219183984
139	0.6214910922
140	0.6210485266
141	0.6206353427
142	0.6202240673
143	0.6197917941
144	0.6193628022
145	0.6188726632
146	0.6184119605
147	0.6179657603
148	0.6175651245
149	0.6170978219
150	0.6167217672
151	0.6162880524
152	0.6158010031
153	0.6153805627
154	0.6149263785
155	0.614442283
156	0.6140564413
157	0.6136258177
158	0.6132247118
159	0.6127585131
160	0.6123427392
161	0.6119100542
162	0.6114448814
163	0.6110411542
164	0.6105926548
165	0.6101945141
166	0.6097587617
167	0.6093155317
168	0.6089201143
169	0.6084566557
170	0.6080292025
171	0.6076150973
172	0.6072580898
173	0.6067976657
174	0.6064225308
175	0.6060335055
176	0.6056092623
177	0.6051992134
178	0.6047179664
179	0.604330681
180	0.6039216319
181	0.6034994304
182	0.6031194881
183	0.6026739004
184	0.6022823359
185	0.6018401953
186	0.6014285772
187	0.6010847484
188	0.6007222288
189	0.6003349965
190	0.5999347378
191	0.5995597187
192	0.5991788916
193	0.5987238891
194	0.5983711067
195	0.5979857506
196	0.5975724356
197	0.5971393782
198	0.5967245411
199	0.5962928532
200	0.5959197537
201	0.5955045091
202	0.5951156903
203	0.5947049028
204	0.5943096696
205	0.5938805541
206	0.5934520982
207	0.5930427028
208	0.5926442319
209	0.5922390033
210	0.5919018983
211	0.5915373732
212	0.5911220347
213	0.5906933773
214	0.5902596215
215	0.5898894688
216	0.5895086114
217	0.5891825134
218	0.5888267121
219	0.5884692318
220	0.5881650875
221	0.5877879658
222	0.5873506448
223	0.586998189
224	0.586635185
225	0.5862786457
226	0.5859289938
227	0.5855601469
228	0.5851478598
229	0.5847946925
230	0.5844161752
231	0.5840123078
232	0.5836652805
233	0.5833140662
234	0.5828963938
235	0.5825024735
236	0.5821202807
237	0.5817254691
238	0.5813512549
239	0.5809519676
240	0.5806086219
241	0.5802458328
242	0.5798904934
243	0.5795517747
244	0.5792104421
245	0.5788545095
246	0.5785170136
247	0.5781728693
248	0.5777955832
249	0.577440441
250	0.5771046154
251	0.5766920611
252	0.5763110294
253	0.5758947346
254	0.5755284597
255	0.5751488842
256	0.5748224182
257	0.5746886639
258	0.5743631791
259	0.5740334127
260	0.5736724476
261	0.5733301229
262	0.5729664062
263	0.5725947259
264	0.5722785987
265	0.5719402237
266	0.5716094011
267	0.5712301442
268	0.5708358231
269	0.5704852643
270	0.5701134842
271	0.5698129577
272	0.5694470561
273	0.5691014661
274	0.5687648756
275	0.5684511338
276	0.5681174257
277	0.5677548386
278	0.567389428
279	0.5671335485
280	0.5667788459
281	0.5664607986
282	0.5661120919
283	0.565734168
284	0.5653632551
285	0.5650395666
286	0.5646802704
287	0.5643550899
288	0.5640420116
289	0.5637009299
290	0.5633547504
291	0.5630173596
292	0.5626843275
293	0.562304091
294	0.5619817833
295	0.5616316286
296	0.5612902306
297	0.5609601158
298	0.5606633823
299	0.5603208028
300	0.5599812042
301	0.5597461505
302	0.5594062596
303	0.5590835554
304	0.5588099779
305	0.5585098501
306	0.5581580169
307	0.5578226092
308	0.5574976863
309	0.5571989443
310	0.5568654608
311	0.5565343019
312	0.5561720595
313	0.5558561918
314	0.5555657735
315	0.5552481098
316	0.5548968075
317	0.5545720298
318	0.5542655185
319	0.553978477
320	0.5536302913
321	0.5532593431
322	0.5529716358
323	0.5526355552
324	0.5523140239
325	0.5520535521
326	0.5517543679
327	0.5514153929
328	0.5510903617
329	0.5507867031
330	0.5504729399
331	0.5501510967
332	0.5498489054
333	0.5495418078
334	0.5492719822
335	0.5489628077
336	0.5486287811
337	0.548337588
338	0.5480049716
339	0.5476747318
340	0.5473781561
341	0.5470887477
342	0.5468186338
343	0.5465577338
344	0.5462710144
345	0.5460013945
346	0.5456921697
347	0.5454200177
348	0.5451436014
349	0.5448520162
350	0.5445595973
351	0.5442474777
352	0.5439711123
353	0.543703525
354	0.543408418
355	0.5431451417
356	0.5427969147
357	0.5425329932
358	0.5422399113
359	0.5419153792
360	0.5415908425
361	0.5413066061
362	0.540971628
363	0.5406616833
364	0.5403780368
365	0.5401239798
366	0.539812391
367	0.5395086642
368	0.539277377
369	0.5389613746
370	0.5386659889
371	0.5383544399
372	0.5380789468
373	0.5377843014
374	0.5374725286
375	0.5371926384
376	0.5369438486
377	0.5366319136
378	0.536347873
379	0.5360430303
380	0.5357418281
381	0.5354561849
382	0.5351831683
383	0.5349144774
384	0.5346373561
385	0.5343439705
386	0.5340722003
387	0.5337942948
388	0.533542365
389	0.5332478766
390	0.5329857556
391	0.5326459136
392	0.5323442968
393	0.5320629822
394	0.5318303211
395	0.5315967577
396	0.5313241778
397	0.5310518133
398	0.5307501411
399	0.5304682687
400	0.5302388977
401	0.5299507843
402	0.529705918
403	0.5294088821
404	0.5291284439
405	0.5288816131
406	0.5286310456
407	0.5283573761
408	0.5280764854
409	0.5278366716
410	0.5275398901
411	0.5272954637
412	0.5270607556
413	0.5267935452
414	0.5265814756
415	0.5263027474
416	0.5260418494
417	0.5257891982
418	0.5255383251
419	0.5252788985
420	0.5250057759
421	0.5247567511
422	0.5244882463
423	0.5242051463
424	0.5239358743
425	0.5236909346
426	0.5234158629
427	0.5231980159
428	0.5229548377
429	0.5226703824
430	0.5224396094
431	0.5221420238
432	0.5218572215
433	0.5215278
434	0.5212641122
435	0.5209865381
436	0.5207353403
437	0.5205015282
438	0.5202201393
439	0.5199747574
440	0.5197092148
441	0.5194224112
442	0.5191764826
443	0.5189359823
444	0.5186973199
445	0.5184364451
446	0.5181774595
447	0.5179212521
448	0.5176313052
449	0.5173622688
450	0.5171125282
451	0.5168814144
452	0.5166538323
453	0.5164056674
454	0.5161418745
455	0.5158990768
456	0.5156832944
457	0.5154182189
458	0.5151789473
459	0.5149422011
460	0.5147022355
461	0.5144408685
462	0.514203891
463	0.5139609374
464	0.5137505736
