iter	Passed	Remaining
0	21	21926
1	44	22241
2	66	21959
3	86	21638
4	107	21421
5	127	21169
6	148	21086
7	168	20922
8	191	21094
9	212	21018
10	234	21068
11	262	21575
12	287	21851
13	311	21904
14	337	22145
15	366	22556
16	394	22787
17	422	23047
18	445	22999
19	469	23008
20	491	22910
21	516	22962
22	537	22840
23	559	22761
24	583	22746
25	606	22711
26	626	22569
27	647	22475
28	667	22355
29	690	22310
30	710	22204
31	732	22173
32	757	22195
33	776	22075
34	798	22023
35	822	22035
36	843	21957
37	864	21877
38	886	21844
39	907	21774
40	929	21737
41	948	21630
42	970	21588
43	990	21511
44	1013	21518
45	1041	21605
46	1064	21589
47	1089	21604
48	1112	21590
49	1133	21533
50	1154	21481
51	1174	21410
52	1196	21371
53	1218	21342
54	1243	21368
55	1266	21352
56	1289	21327
57	1312	21321
58	1338	21355
59	1347	21103
60	1371	21105
61	1392	21068
62	1415	21049
63	1440	21066
64	1464	21071
65	1489	21080
66	1512	21058
67	1536	21063
68	1562	21082
69	1586	21078
70	1611	21085
71	1629	20997
72	1658	21062
73	1694	21202
74	1733	21380
75	1766	21472
76	1793	21502
77	1820	21519
78	1849	21558
79	1879	21610
80	1906	21632
81	1932	21631
82	1960	21654
83	1991	21721
84	2015	21691
85	2036	21642
86	2059	21608
87	2079	21546
88	2100	21501
89	2122	21465
90	2144	21423
91	2166	21378
92	2187	21334
93	2209	21297
94	2231	21261
95	2256	21250
96	2279	21220
97	2301	21182
98	2323	21147
99	2344	21098
100	2364	21047
101	2391	21054
102	2415	21037
103	2436	20994
104	2457	20950
105	2478	20904
106	2501	20873
107	2523	20840
108	2547	20821
109	2569	20790
110	2596	20796
111	2619	20772
112	2643	20747
113	2664	20708
114	2686	20674
115	2707	20635
116	2729	20602
117	2753	20583
118	2774	20538
119	2795	20497
120	2815	20450
121	2836	20412
122	2859	20385
123	2879	20345
124	2902	20318
125	2924	20288
126	2946	20252
127	2948	20089
128	2969	20050
129	2990	20012
130	3012	19981
131	3032	19941
132	3053	19905
133	3073	19861
134	3094	19824
135	3113	19779
136	3132	19732
137	3152	19689
138	3173	19655
139	3198	19646
140	3218	19605
141	3240	19579
142	3259	19534
143	3280	19502
144	3299	19455
145	3319	19416
146	3339	19376
147	3358	19336
148	3379	19304
149	3400	19271
150	3420	19232
151	3442	19205
152	3467	19194
153	3488	19166
154	3517	19175
155	3541	19159
156	3566	19152
157	3589	19129
158	3613	19112
159	3635	19086
160	3655	19050
161	3677	19024
162	3699	18997
163	3724	18983
164	3752	18990
165	3776	18971
166	3798	18944
167	3819	18915
168	3841	18891
169	3865	18873
170	3888	18851
171	3909	18821
172	3929	18785
173	3948	18746
174	3971	18724
175	3992	18692
176	4011	18651
177	4029	18610
178	4048	18570
179	4069	18537
180	4091	18511
181	4110	18474
182	4132	18448
183	4155	18427
184	4178	18405
185	4198	18375
186	4224	18367
187	4246	18339
188	4265	18304
189	4286	18272
190	4305	18236
191	4325	18204
192	4343	18162
193	4363	18129
194	4384	18098
195	4404	18067
196	4424	18035
197	4445	18006
198	4468	17987
199	4492	17971
200	4515	17949
201	4539	17934
202	4563	17918
203	4584	17890
204	4608	17873
205	4630	17848
206	4651	17820
207	4676	17808
208	4699	17787
209	4721	17760
210	4745	17745
211	4768	17724
212	4796	17722
213	4821	17708
214	4844	17688
215	4868	17672
216	4892	17653
217	4917	17638
218	4939	17614
219	4964	17603
220	4988	17583
221	5012	17564
222	5047	17585
223	5072	17571
224	5096	17555
225	5118	17531
226	5142	17513
227	5165	17488
228	5190	17474
229	5215	17460
230	5239	17441
231	5262	17421
232	5285	17398
233	5309	17380
234	5334	17364
235	5356	17341
236	5380	17323
237	5403	17300
238	5426	17278
239	5451	17261
240	5473	17238
241	5496	17216
242	5524	17211
243	5551	17200
244	5577	17187
245	5599	17162
246	5623	17143
247	5645	17118
248	5667	17092
249	5688	17065
