iter	Passed	Remaining
0	22	22500
1	48	24414
2	73	24504
3	98	24465
4	120	23995
5	144	23975
6	168	23924
7	188	23320
8	212	23431
9	240	23794
10	264	23745
11	289	23845
12	319	24227
13	322	22744
14	354	23285
15	389	23944
16	418	24183
17	454	24786
18	477	24667
19	499	24474
20	518	24188
21	538	23945
22	559	23759
23	579	23552
24	598	23356
25	617	23149
26	637	22975
27	658	22872
28	681	22810
29	702	22706
30	722	22584
31	744	22517
32	767	22479
33	790	22456
34	812	22400
35	836	22397
36	855	22263
37	876	22180
38	894	22043
39	913	21918
40	935	21876
41	957	21834
42	976	21743
43	999	21724
44	1021	21682
45	1046	21708
46	1068	21667
47	1094	21704
48	1115	21656
49	1138	21638
50	1160	21586
51	1183	21582
52	1207	21578
53	1231	21581
54	1262	21692
55	1285	21667
56	1308	21643
57	1332	21640
58	1359	21685
59	1384	21698
60	1406	21652
61	1431	21654
62	1454	21626
63	1476	21600
64	1498	21550
65	1520	21516
66	1541	21470
67	1567	21490
68	1589	21447
69	1618	21508
70	1643	21501
71	1665	21466
72	1689	21449
73	1712	21427
74	1733	21381
75	1753	21324
76	1775	21283
77	1798	21262
78	1818	21201
79	1839	21159
80	1861	21120
81	1885	21108
82	1907	21077
83	1930	21047
84	1952	21020
85	1978	21025
86	1998	20973
87	2018	20919
88	2041	20897
89	2062	20856
90	2083	20809
91	2102	20749
92	2123	20705
93	2143	20660
94	2162	20601
95	2183	20563
96	2205	20534
97	2228	20506
98	2252	20503
99	2274	20474
100	2299	20471
101	2321	20440
102	2342	20396
103	2361	20343
104	2382	20310
105	2404	20276
106	2424	20235
107	2444	20190
108	2465	20156
109	2489	20142
110	2518	20170
111	2544	20173
112	2567	20154
113	2591	20137
114	2614	20123
115	2637	20096
116	2658	20061
117	2679	20029
118	2700	19992
119	2720	19953
120	2741	19916
121	2763	19886
122	2785	19860
123	2807	19833
124	2826	19786
125	2848	19759
126	2868	19721
127	2889	19683
128	2914	19676
129	2934	19636
130	2953	19590
131	2972	19544
132	2990	19497
133	3013	19473
134	3036	19458
135	3055	19409
136	3074	19366
137	3093	19320
138	3114	19290
139	3136	19268
140	3157	19237
141	3181	19222
142	3204	19205
143	3225	19175
144	3249	19162
145	3272	19142
146	3300	19153
147	3321	19123
148	3342	19088
149	3362	19054
150	3382	19016
151	3402	18981
152	3422	18947
153	3443	18916
154	3464	18884
155	3483	18848
156	3506	18830
157	3530	18814
158	3555	18806
159	3580	18796
160	3601	18768
161	3620	18730
162	3640	18692
163	3661	18666
164	3680	18626
165	3700	18589
166	3719	18551
167	3739	18519
168	3760	18491
169	3780	18456
170	3799	18419
171	3822	18402
172	3842	18370
173	3863	18340
174	3884	18314
175	3905	18284
176	3925	18253
177	3945	18217
178	3966	18191
179	3985	18156
180	4005	18122
181	4025	18091
182	4047	18068
183	4068	18044
184	4073	17943
185	4092	17912
186	4111	17873
187	4131	17842
188	4155	17833
189	4177	17808
190	4198	17784
191	4224	17776
192	4246	17756
193	4268	17734
194	4291	17716
195	4312	17688
196	4334	17668
197	4357	17651
198	4378	17624
199	4399	17599
200	4421	17574
201	4440	17540
202	4462	17519
203	4486	17506
204	4508	17484
205	4530	17463
206	4555	17453
207	4577	17428
208	4599	17409
209	4620	17380
210	4641	17354
211	4661	17327
212	4682	17302
213	4704	17278
214	4727	17260
215	4749	17237
216	4769	17210
217	4795	17201
218	4818	17185
219	4840	17163
220	4866	17152
221	4889	17133
222	4912	17118
223	4936	17101
224	4958	17079
225	4980	17057
226	5003	17036
227	5023	17010
228	5045	16986
229	5066	16961
230	5087	16937
231	5111	16921
232	5134	16902
233	5156	16880
234	5180	16864
235	5204	16848
236	5223	16817
237	5244	16790
238	5265	16765
239	5288	16747
240	5308	16719
241	5328	16689
242	5348	16662
243	5369	16637
244	5395	16626
245	5419	16610
246	5441	16589
247	5463	16566
248	5488	16554
249	5512	16536
250	5533	16510
251	5554	16486
252	5578	16470
253	5600	16450
254	5622	16427
255	5643	16401
256	5665	16379
257	5685	16351
258	5706	16326
259	5727	16300
260	5748	16276
261	5772	16259
262	5794	16239
263	5817	16218
264	5839	16196
265	5862	16176
266	5884	16156
267	5908	16138
268	5933	16124
269	5953	16096
270	5972	16066
271	5991	16035
272	6011	16009
273	6030	15978
274	6048	15947
275	6068	15919
276	6089	15895
277	6109	15866
278	6131	15844
279	6151	15818
280	6172	15793
281	6193	15769
282	6213	15743
283	6234	15718
284	6254	15691
285	6274	15665
286	6295	15638
287	6316	15616
288	6337	15590
289	6357	15564
290	6379	15542
291	6399	15517
292	6423	15499
293	6447	15483
294	6469	15461
295	6493	15444
296	6515	15422
297	6538	15401
298	6558	15376
299	6580	15354
300	6602	15333
301	6628	15319
302	6659	15319
303	6687	15309
304	6710	15290
305	6741	15289
306	6763	15267
307	6783	15240
308	6805	15219
309	6826	15195
310	6846	15167
311	6865	15139
312	6885	15113
313	6906	15088
314	6925	15060
315	6945	15033
316	6966	15009
317	6985	14980
318	7004	14952
319	7023	14925
320	7043	14897
321	7064	14875
322	7085	14850
323	7105	14824
324	7126	14801
325	7146	14775
326	7165	14747
327	7184	14719
328	7204	14692
329	7226	14672
330	7249	14652
331	7269	14626
332	7293	14608
333	7313	14582
334	7334	14559
335	7356	14537
336	7376	14511
337	7400	14493
338	7422	14471
339	7445	14452
340	7470	14437
341	7495	14420
342	7517	14398
343	7537	14373
344	7559	14351
345	7579	14326
346	7601	14304
347	7621	14280
348	7644	14259
349	7664	14234
350	7687	14214
351	7707	14188
352	7730	14169
353	7754	14151
354	7778	14131
355	7800	14110
356	7821	14087
357	7844	14068
358	7865	14043
359	7886	14020
360	7906	13995
361	7926	13970
362	7949	13949
